"movement","measured"
"0.5","+109.135"
"0.5","+108.645"
"0.5","+108.135"
"0.5","+107.625"
"0.5","+107.125"
"0.5","+106.625"
"0.5","+106.125"
"0.5","+105.625"
"0.5","+105.125"
"0.5","+104.625"
"0.5","+104.130"
"0.5","+103.625"
"0.5","+103.120"
"0.5","+102.620"
"0.5","+102.120"
"0.5","+101.615"
"0.5","+101.115"
"0.5","+100.615"
"0.5","+100.120"
"0.5","+99.630"
"0.5","+99.130"
"0.5","+98.630"
"0.5","+98.130"
"0.5","+97.620"
"0.5","+97.120"
"0.5","+96.620"
"0.5","+96.120"
"0.5","+95.610"
"0.5","+95.115"
"0.5","+94.615"
"0.5","+94.115"
"0.5","+93.610"
"0.5","+93.110"
"0.5","+92.610"
"0.5","+92.115"
"0.5","+91.620"
"0.5","+91.145"
"0.5","+90.645"
"0.5","+90.145"
"0.5","+89.640"
"0.5","+89.140"
"0.5","+88.640"
"0.5","+88.135"
"0.5","+87.625"
"0.5","+87.125"
"0.5","+86.625"
"0.5","+86.130"
"0.5","+85.620"
"0.5","+85.115"
"0.5","+84.610"
"0.5","+84.115"
"0.5","+83.605"
"0.5","+83.100"
"0.5","+82.600"
"0.5","+82.100"
"0.5","+81.595"
"0.5","+81.095"
"0.5","+80.600"
"0.5","+80.100"
"0.5","+79.595"
"0.5","+79.085"
"0.5","+78.580"
"0.5","+78.080"
"0.5","+77.575"
"0.5","+77.080"
"0.5","+76.575"
"0.5","+76.075"
"0.5","+75.560"
"0.5","+75.055"
"0.5","+74.565"
"0.5","+74.080"
