"movement","measured"
"70.05","+97.640"
"70.1","+97.595"
"70.14999999999999","+97.550"
"70.19999999999999","+97.505"
"70.24999999999999","+97.460"
"70.29999999999998","+97.405"
"70.34999999999998","+97.355"
"70.39999999999998","+97.310"
"70.44999999999997","+97.265"
"70.49999999999997","+97.215"
"70.54999999999997","+97.165"
"70.59999999999997","+97.120"
"70.64999999999996","+97.070"
"70.69999999999996","+97.015"
"70.74999999999996","+96.965"
"70.79999999999995","+96.915"
"70.84999999999995","+96.865"
"70.89999999999995","+96.815"
"70.94999999999995","+96.770"
"70.99999999999994","+96.720"
"71.04999999999994","+96.675"
"71.09999999999994","+96.620"
"71.14999999999993","+96.570"
"71.19999999999993","+96.525"
"71.24999999999993","+96.475"
"71.29999999999993","+96.420"
"71.34999999999992","+96.375"
"71.39999999999992","+96.325"
"71.44999999999992","+96.275"
"71.49999999999991","+96.215"
"71.54999999999991","+96.165"
"71.59999999999991","+96.115"
"71.6499999999999","+96.065"
"71.6999999999999","+96.015"
"71.7499999999999","+95.965"
"71.7999999999999","+95.920"
"71.8499999999999","+95.870"
"71.89999999999989","+95.815"
"71.94999999999989","+95.765"
"71.99999999999989","+95.715"
"72.04999999999988","+95.660"
"72.09999999999988","+95.605"
"72.14999999999988","+95.560"
"72.19999999999987","+95.510"
"72.24999999999987","+95.465"
"72.29999999999987","+95.410"
"72.34999999999987","+95.360"
"72.39999999999986","+95.310"
"72.44999999999986","+95.260"
"72.49999999999986","+95.210"
"72.54999999999986","+95.160"
"72.59999999999985","+95.115"
"72.64999999999985","+95.065"
"72.69999999999985","+95.010"
"72.74999999999984","+94.955"
"72.79999999999984","+94.910"
"72.84999999999984","+94.860"
"72.89999999999984","+94.810"
"72.94999999999983","+94.760"
"72.99999999999983","+94.715"
"73.04999999999983","+94.660"
"73.09999999999982","+94.610"
"73.14999999999982","+94.555"
"73.19999999999982","+94.510"
"73.24999999999982","+94.455"
"73.29999999999981","+94.405"
"73.34999999999981","+94.355"
"73.3999999999998","+94.310"
"73.4499999999998","+94.260"
"73.4999999999998","+94.205"
"73.5499999999998","+94.155"
"73.5999999999998","+94.105"
"73.64999999999979","+94.055"
"73.69999999999979","+94.000"
"73.74999999999979","+93.955"
"73.79999999999978","+93.905"
"73.84999999999978","+93.855"
"73.89999999999978","+93.805"
"73.94999999999978","+93.755"
"73.99999999999977","+93.705"
"74.04999999999977","+93.650"
"74.09999999999977","+93.600"
"74.14999999999976","+93.550"
"74.19999999999976","+93.505"
"74.24999999999976","+93.460"
"74.29999999999976","+93.405"
"74.34999999999975","+93.355"
"74.39999999999975","+93.300"
"74.44999999999975","+93.255"
"74.49999999999974","+93.205"
"74.54999999999974","+93.155"
"74.59999999999974","+93.110"
"74.64999999999974","+93.060"
"74.69999999999973","+93.010"
"74.74999999999973","+92.950"
"74.79999999999973","+92.900"
"74.84999999999972","+92.850"
"74.89999999999972","+92.800"
"74.94999999999972","+92.755"
"74.99999999999972","+92.705"
"75.04999999999971","+92.660"
"75.09999999999971","+92.605"
"75.14999999999971","+92.555"
"75.1999999999997","+92.505"
"75.2499999999997","+92.455"
"75.2999999999997","+92.400"
"75.3499999999997","+92.365"
"75.3999999999997","+92.310"
"75.44999999999969","+92.255"
"75.49999999999969","+92.200"
"75.54999999999968","+92.150"
"75.59999999999968","+92.100"
"75.64999999999968","+92.050"
"75.69999999999968","+92.000"
