"movement","measured"
"0.05","+109.290"
"0.05","+109.290"
"0.05","+109.290"
"0.05","+109.280"
"0.05","+109.245"
"0.05","+109.205"
"0.05","+109.170"
"0.05","+109.130"
"0.05","+109.085"
"0.05","+109.035"
"0.05","+108.985"
"0.05","+108.940"
"0.05","+108.890"
"0.05","+108.835"
"0.05","+108.790"
"0.05","+108.740"
"0.05","+108.685"
"0.05","+108.630"
"0.05","+108.575"
"0.05","+108.520"
"0.05","+108.465"
"0.05","+108.415"
"0.05","+108.365"
"0.05","+108.320"
"0.05","+108.270"
"0.05","+108.210"
"0.05","+108.160"
"0.05","+108.110"
"0.05","+108.065"
"0.05","+108.010"
"0.05","+107.960"
"0.05","+107.910"
"0.05","+107.860"
"0.05","+107.805"
"0.05","+107.755"
"0.05","+107.705"
"0.05","+107.650"
"0.05","+107.600"
"0.05","+107.555"
"0.05","+107.510"
"0.05","+107.465"
"0.05","+107.410"
"0.05","+107.355"
"0.05","+107.310"
"0.05","+107.260"
"0.05","+107.210"
"0.05","+107.165"
"0.05","+107.120"
"0.05","+107.070"
"0.05","+107.015"
"0.05","+106.960"
"0.05","+106.915"
"0.05","+106.870"
"0.05","+106.815"
"0.05","+106.765"
"0.05","+106.720"
"0.05","+106.665"
"0.05","+106.610"
"0.05","+106.560"
"0.05","+106.510"
"0.05","+106.460"
"0.05","+106.405"
"0.05","+106.360"
"0.05","+106.320"
"0.05","+106.265"
"0.05","+106.210"
"0.05","+106.160"
"0.05","+106.110"
"0.05","+106.060"
"0.05","+106.010"
"0.05","+105.960"
"0.05","+105.915"
"0.05","+105.865"
"0.05","+105.810"
"0.05","+105.760"
"0.05","+105.715"
"0.05","+105.660"
"0.05","+105.610"
"0.05","+105.560"
"0.05","+105.515"
"0.05","+105.460"
"0.05","+105.405"
"0.05","+105.355"
"0.05","+105.310"
"0.05","+105.255"
"0.05","+105.210"
"0.05","+105.155"
"0.05","+105.110"
"0.05","+105.060"
"0.05","+105.005"
"0.05","+104.955"
"0.05","+104.905"
"0.05","+104.855"
"0.05","+104.805"
"0.05","+104.755"
"0.05","+104.705"
"0.05","+104.655"
"0.05","+104.605"
"0.05","+104.555"
"0.05","+104.505"
"0.05","+104.455"
"0.05","+104.400"
"0.05","+104.355"
"0.05","+104.310"
"0.05","+104.260"
"0.05","+104.205"
"0.05","+104.155"
"0.05","+104.105"
"0.05","+104.060"
"0.05","+104.010"
"0.05","+103.960"
"0.05","+103.915"
"0.05","+103.860"
"0.05","+103.805"
"0.05","+103.755"
"0.05","+103.710"
"0.05","+103.655"
"0.05","+103.605"
"0.05","+103.555"
"0.05","+103.515"
"0.05","+103.465"
"0.05","+103.410"
"0.05","+103.355"
"0.05","+103.310"
"0.05","+103.255"
"0.05","+103.205"
"0.05","+103.155"
"0.05","+103.110"
"0.05","+103.055"
"0.05","+103.000"
"0.05","+102.950"
"0.05","+102.905"
"0.05","+102.855"
"0.05","+102.805"
"0.05","+102.755"
"0.05","+102.710"
"0.05","+102.655"
"0.05","+102.600"
"0.05","+102.550"
"0.05","+102.500"
"0.05","+102.450"
"0.05","+102.400"
"0.05","+102.350"
"0.05","+102.310"
"0.05","+102.255"
"0.05","+102.200"
"0.05","+102.150"
"0.05","+102.105"
"0.05","+102.050"
"0.05","+102.000"
"0.05","+101.950"
"0.05","+101.905"
"0.05","+101.855"
"0.05","+101.800"
"0.05","+101.755"
"0.05","+101.705"
"0.05","+101.655"
"0.05","+101.600"
"0.05","+101.555"
"0.05","+101.510"
"0.05","+101.455"
"0.05","+101.400"
"0.05","+101.350"
"0.05","+101.300"
"0.05","+101.250"
"0.05","+101.200"
"0.05","+101.155"
"0.05","+101.110"
"0.05","+101.055"
"0.05","+101.000"
"0.05","+100.950"
"0.05","+100.900"
"0.05","+100.850"
"0.05","+100.795"
"0.05","+100.750"
"0.05","+100.700"
"0.05","+100.650"
"0.05","+100.600"
"0.05","+100.550"
"0.05","+100.500"
"0.05","+100.450"
"0.05","+100.400"
"0.05","+100.350"
"0.05","+100.305"
"0.05","+100.250"
"0.05","+100.195"
"0.05","+100.145"
"0.05","+100.100"
"0.05","+100.050"
"0.05","+100.000"
"0.05","+99.995"
"0.05","+99.950"
"0.05","+99.900"
"0.05","+99.845"
"0.05","+99.795"
"0.05","+99.745"
"0.05","+99.695"
"0.05","+99.640"
"0.05","+99.595"
"0.05","+99.555"
"0.05","+99.505"
"0.05","+99.450"
"0.05","+99.395"
"0.05","+99.350"
"0.05","+99.300"
"0.05","+99.245"
"0.05","+99.200"
"0.05","+99.150"
"0.05","+99.100"
"0.05","+99.040"
"0.05","+98.995"
"0.05","+98.950"
"0.05","+98.895"
"0.05","+98.845"
"0.05","+98.800"
"0.05","+98.750"
"0.05","+98.700"
"0.05","+98.645"
"0.05","+98.595"
"0.05","+98.545"
"0.05","+98.495"
"0.05","+98.445"
"0.05","+98.400"
"0.05","+98.355"
"0.05","+98.305"
"0.05","+98.250"
"0.05","+98.200"
"0.05","+98.150"
"0.05","+98.100"
"0.05","+98.045"
"0.05","+98.000"
"0.05","+97.955"
"0.05","+97.905"
"0.05","+97.850"
"0.05","+97.800"
"0.05","+97.750"
"0.05","+97.700"
"0.05","+97.650"
"0.05","+97.600"
"0.05","+97.555"
"0.05","+97.500"
"0.05","+97.445"
"0.05","+97.395"
"0.05","+97.350"
"0.05","+97.295"
"0.05","+97.245"
"0.05","+97.200"
"0.05","+97.155"
"0.05","+97.100"
"0.05","+97.045"
"0.05","+96.995"
"0.05","+96.945"
"0.05","+96.895"
"0.05","+96.840"
"0.05","+96.790"
"0.05","+96.745"
"0.05","+96.695"
"0.05","+96.640"
"0.05","+96.590"
"0.05","+96.540"
"0.05","+96.490"
"0.05","+96.440"
"0.05","+96.390"
"0.05","+96.345"
"0.05","+96.295"
"0.05","+96.240"
"0.05","+96.190"
"0.05","+96.140"
"0.05","+96.095"
"0.05","+96.040"
"0.05","+95.995"
"0.05","+95.945"
"0.05","+95.895"
"0.05","+95.840"
"0.05","+95.790"
"0.05","+95.740"
"0.05","+95.690"
"0.05","+95.640"
"0.05","+95.590"
"0.05","+95.550"
"0.05","+95.495"
"0.05","+95.440"
"0.05","+95.390"
"0.05","+95.340"
"0.05","+95.290"
"0.05","+95.240"
"0.05","+95.190"
"0.05","+95.145"
"0.05","+95.095"
"0.05","+95.035"
"0.05","+94.990"
"0.05","+94.940"
"0.05","+94.890"
"0.05","+94.835"
"0.05","+94.790"
"0.05","+94.740"
"0.05","+94.690"
"0.05","+94.635"
"0.05","+94.585"
"0.05","+94.535"
"0.05","+94.485"
