"movement","measured"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.605"
"0.01","+102.600"
"0.01","+102.600"
"0.01","+102.590"
"0.01","+102.585"
"0.01","+102.580"
"0.01","+102.570"
"0.01","+102.565"
"0.01","+102.555"
"0.01","+102.550"
"0.01","+102.545"
"0.01","+102.535"
"0.01","+102.530"
"0.01","+102.520"
"0.01","+102.510"
"0.01","+102.500"
"0.01","+102.490"
"0.01","+102.485"
"0.01","+102.475"
"0.01","+102.465"
"0.01","+102.455"
"0.01","+102.445"
"0.01","+102.440"
"0.01","+102.430"
"0.01","+102.425"
"0.01","+102.415"
"0.01","+102.405"
"0.01","+102.395"
"0.01","+102.385"
"0.01","+102.380"
"0.01","+102.370"
"0.01","+102.360"
"0.01","+102.350"
"0.01","+102.345"
"0.01","+102.335"
"0.01","+102.325"
"0.01","+102.315"
"0.01","+102.305"
"0.01","+102.290"
"0.01","+102.285"
"0.01","+102.270"
"0.01","+102.260"
"0.01","+102.250"
"0.01","+102.240"
"0.01","+102.235"
"0.01","+102.225"
"0.01","+102.210"
"0.01","+102.205"
"0.01","+102.195"
"0.01","+102.185"
"0.01","+102.175"
"0.01","+102.165"
"0.01","+102.155"
"0.01","+102.145"
"0.01","+102.135"
"0.01","+102.125"
"0.01","+102.115"
"0.01","+102.105"
"0.01","+102.095"
"0.01","+102.090"
"0.01","+102.080"
"0.01","+102.070"
"0.01","+102.060"
"0.01","+102.050"
"0.01","+102.040"
"0.01","+102.030"
"0.01","+102.025"
"0.01","+102.015"
"0.01","+102.005"
"0.01","+101.995"
"0.01","+101.985"
"0.01","+101.980"
"0.01","+101.970"
"0.01","+101.960"
"0.01","+101.945"
"0.01","+101.940"
"0.01","+101.925"
"0.01","+101.915"
"0.01","+101.905"
"0.01","+101.895"
"0.01","+101.885"
"0.01","+101.875"
"0.01","+101.870"
"0.01","+101.855"
"0.01","+101.845"
"0.01","+101.835"
"0.01","+101.825"
"0.01","+101.815"
"0.01","+101.805"
"0.01","+101.795"
"0.01","+101.785"
"0.01","+101.775"
"0.01","+101.765"
"0.01","+101.755"
"0.01","+101.745"
"0.01","+101.740"
"0.01","+101.730"
"0.01","+101.720"
"0.01","+101.705"
"0.01","+101.695"
"0.01","+101.685"
"0.01","+101.675"
"0.01","+101.665"
"0.01","+101.660"
"0.01","+101.650"
"0.01","+101.640"
"0.01","+101.630"
"0.01","+101.620"
"0.01","+101.610"
"0.01","+101.600"
"0.01","+101.595"
"0.01","+101.585"
"0.01","+101.575"
"0.01","+101.565"
"0.01","+101.555"
"0.01","+101.545"
"0.01","+101.535"
"0.01","+101.530"
"0.01","+101.515"
"0.01","+101.505"
"0.01","+101.495"
"0.01","+101.485"
"0.01","+101.475"
"0.01","+101.465"
"0.01","+101.455"
"0.01","+101.440"
"0.01","+101.430"
"0.01","+101.420"
"0.01","+101.410"
"0.01","+101.400"
"0.01","+101.395"
"0.01","+101.385"
"0.01","+101.375"
"0.01","+101.365"
"0.01","+101.350"
"0.01","+101.345"
"0.01","+101.330"
"0.01","+101.320"
"0.01","+101.310"
"0.01","+101.300"
"0.01","+101.295"
"0.01","+101.285"
"0.01","+101.270"
"0.01","+101.265"
"0.01","+101.255"
"0.01","+101.245"
"0.01","+101.235"
"0.01","+101.225"
"0.01","+101.215"
"0.01","+101.205"
"0.01","+101.200"
"0.01","+101.190"
"0.01","+101.180"
"0.01","+101.170"
"0.01","+101.160"
"0.01","+101.150"
"0.01","+101.140"
"0.01","+101.130"
"0.01","+101.120"
"0.01","+101.110"
"0.01","+101.100"
"0.01","+101.090"
"0.01","+101.080"
"0.01","+101.070"
"0.01","+101.060"
"0.01","+101.050"
"0.01","+101.040"
"0.01","+101.030"
"0.01","+101.020"
"0.01","+101.010"
"0.01","+101.000"
"0.01","+100.990"
"0.01","+100.980"
"0.01","+100.970"
"0.01","+100.960"
"0.01","+100.950"
"0.01","+100.940"
"0.01","+100.930"
"0.01","+100.920"
"0.01","+100.910"
"0.01","+100.895"
"0.01","+100.885"
"0.01","+100.875"
"0.01","+100.865"
