"movement","measured"
"70.5","+104.315"
"71.0","+103.830"
"71.5","+103.325"
"72.0","+102.850"
"72.5","+102.385"
"73.0","+101.890"
"73.5","+101.385"
"74.0","+100.880"
"74.5","+100.365"
"75.0","+99.810"
"75.5","+99.305"
"76.0","+98.805"
"76.5","+98.305"
"77.0","+97.815"
"77.5","+97.305"
"78.0","+96.800"
"78.5","+96.300"
"79.0","+95.795"
"79.5","+95.290"
"80.0","+94.780"
"80.5","+94.295"
"81.0","+93.820"
"81.5","+93.315"
"82.0","+92.805"
"82.5","+92.300"
"83.0","+91.800"
"83.5","+91.295"
"84.0","+90.790"
"84.5","+90.290"
"85.0","+89.795"
"85.5","+89.285"
"86.0","+88.780"
"86.5","+88.280"
"87.0","+87.780"
"87.5","+87.270"
"88.0","+86.765"
"88.5","+86.260"
"89.0","+85.760"
"89.5","+85.255"
"90.0","+84.745"
"90.5","+84.245"
"91.0","+83.745"
"91.5","+83.240"
"92.0","+82.730"
"92.5","+82.235"
"93.0","+81.735"
"93.5","+81.230"
"94.0","+80.720"
"94.5","+80.230"
"95.0","+79.730"
"95.5","+79.220"
"96.0","+78.705"
"96.5","+78.205"
"97.0","+77.710"
"97.5","+77.205"
"98.0","+76.700"
"98.5","+76.195"
"99.0","+75.700"
"99.5","+75.185"
"100.0","+74.680"
"100.5","+74.175"
"101.0","+73.675"
"101.5","+73.175"
"102.0","+72.665"
"102.5","+72.170"
"103.0","+71.670"
"103.5","+71.165"
"104.0","+70.660"
"104.5","+70.160"
"105.0","+69.655"
"105.5","+69.155"
"106.0","+68.645"
"106.5","+68.140"
"107.0","+67.640"
"107.5","+67.135"
"108.0","+66.630"
"108.5","+66.120"
"109.0","+65.625"
"109.5","+65.120"
"110.0","+64.610"
"110.5","+64.110"
"111.0","+63.605"
"111.5","+63.095"
"112.0","+62.585"
"112.5","+62.085"
"113.0","+61.590"
"113.5","+61.085"
"114.0","+60.575"
"114.5","+60.080"
"115.0","+59.580"
"115.5","+59.080"
"116.0","+58.570"
"116.5","+58.065"
"117.0","+57.565"
"117.5","+57.065"
"118.0","+56.550"
"118.5","+56.045"
"119.0","+55.550"
"119.5","+55.060"
"120.0","+54.555"
"120.5","+54.050"
"121.0","+53.555"
"121.5","+53.050"
"122.0","+52.540"
"122.5","+52.040"
"123.0","+51.540"
"123.5","+51.040"
"124.0","+50.535"
"124.5","+50.030"
"125.0","+49.535"
"125.5","+49.040"
"126.0","+48.520"
"126.5","+48.015"
"127.0","+47.515"
"127.5","+47.010"
"128.0","+46.500"
"128.5","+46.015"
"129.0","+45.525"
"129.5","+45.035"
