"movement","measured"
"0.001","+109.355"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.355"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.350"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.345"
"0.001","+109.340"
"0.001","+109.340"
"0.001","+109.340"
"0.001","+109.340"
"0.001","+109.340"
"0.001","+109.340"
"0.001","+109.340"
"0.001","+109.340"
