"movement","measured"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.240"
"0.005","+109.235"
"0.005","+109.235"
"0.005","+109.235"
"0.005","+109.235"
"0.005","+109.230"
"0.005","+109.230"
"0.005","+109.230"
"0.005","+109.225"
"0.005","+109.225"
"0.005","+109.220"
"0.005","+109.220"
"0.005","+109.220"
"0.005","+109.215"
"0.005","+109.215"
"0.005","+109.210"
"0.005","+109.205"
"0.005","+109.200"
"0.005","+109.200"
"0.005","+109.195"
"0.005","+109.190"
"0.005","+109.185"
"0.005","+109.180"
"0.005","+109.175"
"0.005","+109.170"
"0.005","+109.165"
"0.005","+109.165"
"0.005","+109.160"
"0.005","+109.155"
"0.005","+109.150"
"0.005","+109.145"
"0.005","+109.140"
"0.005","+109.135"
"0.005","+109.130"
"0.005","+109.125"
"0.005","+109.120"
"0.005","+109.115"
"0.005","+109.110"
"0.005","+109.105"
"0.005","+109.100"
"0.005","+109.095"
"0.005","+109.090"
"0.005","+109.085"
"0.005","+109.080"
"0.005","+109.080"
"0.005","+109.075"
"0.005","+109.070"
"0.005","+109.065"
"0.005","+109.060"
"0.005","+109.060"
"0.005","+109.055"
"0.005","+109.050"
"0.005","+109.045"
"0.005","+109.040"
"0.005","+109.035"
"0.005","+109.030"
"0.005","+109.025"
"0.005","+109.020"
"0.005","+109.015"
"0.005","+109.015"
"0.005","+109.010"
"0.005","+109.000"
"0.005","+109.000"
"0.005","+108.995"
"0.005","+108.990"
"0.005","+108.985"
"0.005","+108.980"
"0.005","+108.975"
"0.005","+108.970"
"0.005","+108.965"
"0.005","+108.960"
"0.005","+108.955"
"0.005","+108.950"
"0.005","+108.945"
"0.005","+108.940"
"0.005","+108.935"
"0.005","+108.930"
"0.005","+108.925"
"0.005","+108.920"
"0.005","+108.915"
"0.005","+108.915"
"0.005","+108.905"
"0.005","+108.900"
"0.005","+108.900"
"0.005","+108.895"
"0.005","+108.890"
"0.005","+108.885"
"0.005","+108.880"
"0.005","+108.875"
"0.005","+108.870"
"0.005","+108.865"
"0.005","+108.860"
"0.005","+108.855"
"0.005","+108.850"
"0.005","+108.845"
"0.005","+108.840"
"0.005","+108.835"
"0.005","+108.830"
"0.005","+108.825"
"0.005","+108.820"
"0.005","+108.815"
"0.005","+108.810"
"0.005","+108.805"
"0.005","+108.800"
"0.005","+108.790"
"0.005","+108.785"
"0.005","+108.780"
"0.005","+108.775"
"0.005","+108.770"
"0.005","+108.765"
"0.005","+108.760"
"0.005","+108.755"
"0.005","+108.745"
"0.005","+108.740"
"0.005","+108.735"
"0.005","+108.730"
"0.005","+108.725"
"0.005","+108.720"
"0.005","+108.715"
"0.005","+108.710"
"0.005","+108.705"
"0.005","+108.700"
"0.005","+108.695"
"0.005","+108.690"
"0.005","+108.680"
"0.005","+108.680"
"0.005","+108.675"
"0.005","+108.670"
"0.005","+108.660"
"0.005","+108.660"
"0.005","+108.655"
"0.005","+108.650"
"0.005","+108.640"
