,movement,measured
11,0.05,45.000000000001705
12,0.05,49.99999999999727
13,0.05,55.00000000000682
14,0.05,44.99999999998727
15,0.05,50.00000000001137
16,0.05,54.999999999992724
17,0.05,55.00000000000682
18,0.05,54.999999999992724
19,0.05,55.00000000000682
20,0.05,54.9999999999925
21,0.05,49.999999999997044
22,0.05,50.00000000001137
23,0.05,45.00000000000182
24,0.05,49.99999999999727
25,0.05,60.000000000002274
26,0.05,49.999999999997044
27,0.05,49.999999999997044
28,0.05,45.00000000000182
29,0.05,54.999999999992724
30,0.05,50.00000000001137
31,0.05,49.99999999999727
32,0.05,49.99999999999682
33,0.05,54.999999999992724
34,0.05,50.00000000001137
35,0.05,49.99999999999727
36,0.05,54.999999999992724
37,0.05,50.000000000010914
38,0.05,44.99999999998772
39,0.05,45.00000000000182
40,0.05,45.000000000001364
41,0.05,55.000000000007276
42,0.05,54.99999999999227
43,0.05,45.00000000000182
44,0.05,49.99999999999727
45,0.05,50.00000000001137
46,0.05,44.99999999998727
47,0.05,45.00000000000182
48,0.05,50.00000000001137
49,0.05,54.999999999992724
50,0.05,55.00000000000682
51,0.05,44.99999999998727
52,0.05,45.00000000000182
53,0.05,55.00000000000682
54,0.05,49.99999999999727
55,0.05,45.000000000001364
56,0.05,54.999999999992724
57,0.05,55.00000000000682
58,0.05,49.99999999999727
59,0.05,49.99999999999727
60,0.05,50.00000000001137
61,0.05,54.999999999992724
62,0.05,45.000000000001364
63,0.05,40.00000000000637
64,0.05,54.999999999992724
65,0.05,55.00000000000682
66,0.05,49.99999999999727
67,0.05,49.99999999999682
68,0.05,49.99999999999727
69,0.05,49.99999999999727
70,0.05,50.00000000001137
71,0.05,44.99999999998727
72,0.05,50.00000000001182
73,0.05,54.999999999992724
74,0.05,49.99999999999636
75,0.05,45.00000000000182
76,0.05,55.000000000007276
77,0.05,49.99999999999727
78,0.05,49.99999999999727
79,0.05,45.00000000000091
80,0.05,55.000000000007276
81,0.05,54.999999999992724
82,0.05,49.99999999999727
83,0.05,45.00000000000182
84,0.05,55.00000000000637
85,0.05,45.00000000000182
86,0.05,54.999999999992724
87,0.05,45.00000000000182
88,0.05,49.99999999999727
89,0.05,55.00000000000637
90,0.05,49.99999999999727
91,0.05,49.99999999999727
92,0.05,49.99999999999727
93,0.05,49.99999999999636
94,0.05,50.00000000001182
95,0.05,49.99999999999727
96,0.05,49.99999999999727
97,0.05,49.99999999999727
98,0.05,49.99999999999636
99,0.05,50.00000000001182
100,0.05,49.99999999999727
101,0.05,54.999999999992724
102,0.05,45.00000000000182
103,0.05,45.00000000000182
104,0.05,49.99999999999636
105,0.05,55.000000000007276
106,0.05,49.99999999999727
107,0.05,49.99999999999727
108,0.05,45.00000000000182
109,0.05,49.99999999999636
110,0.05,50.00000000001182
111,0.05,44.99999999998727
112,0.05,55.000000000007276
113,0.05,54.999999999991815
114,0.05,50.00000000001182
115,0.05,45.00000000000182
116,0.05,54.999999999992724
117,0.05,49.99999999999727
118,0.05,49.99999999999636
119,0.05,40.00000000000637
120,0.05,49.99999999999727
121,0.05,55.000000000007276
122,0.05,54.999999999992724
123,0.05,45.00000000000182
124,0.05,55.00000000000637
125,0.05,49.99999999999727
126,0.05,49.99999999999727
127,0.05,45.00000000000182
128,0.05,54.999999999991815
129,0.05,55.000000000007276
130,0.05,49.99999999999727
131,0.05,45.00000000000182
132,0.05,49.99999999999727
133,0.05,49.99999999999636
134,0.05,50.00000000001182
135,0.05,45.00000000000182
136,0.05,54.999999999992724
137,0.05,55.00000000000637
138,0.05,49.99999999999727
139,0.05,49.99999999999727
140,0.05,49.99999999999727
141,0.05,49.99999999999727
142,0.05,50.000000000010914
143,0.05,39.999999999992724
144,0.05,55.00000000000637
145,0.05,54.999999999992724
146,0.05,49.99999999999727
147,0.05,45.00000000000182
148,0.05,55.00000000000637
149,0.05,49.99999999999727
150,0.05,49.99999999999727
151,0.05,45.00000000000182
152,0.05,49.99999999999727
153,0.05,55.000000000007276
154,0.05,45.0
155,0.05,49.99999999999818
156,0.05,49.99999999999636
157,0.05,55.000000000007276
158,0.05,44.99999999998727
159,0.05,45.00000000000182
160,0.05,55.000000000007276
161,0.05,54.999999999992724
162,0.05,50.000000000010914
163,0.05,49.99999999999818
164,0.05,49.99999999999636
165,0.05,49.99999999999636
166,0.05,45.00000000000182
167,0.05,45.00000000000182
168,0.05,54.999999999992724
169,0.05,55.000000000007276
170,0.05,49.99999999999636
171,0.05,49.99999999999818
172,0.05,50.000000000010914
173,0.05,54.999999999992724
174,0.05,45.00000000000182
175,0.05,49.99999999999636
176,0.05,49.99999999999818
177,0.05,50.000000000010914
178,0.05,49.99999999999818
179,0.05,49.99999999999636
180,0.05,49.99999999999636
181,0.05,49.99999999999818
182,0.05,50.000000000010914
183,0.05,44.99999999998727
184,0.05,55.000000000007276
185,0.05,55.000000000007276
186,0.05,49.99999999999636
187,0.05,45.00000000000182
188,0.05,49.99999999999818
189,0.05,49.99999999999636
191,0.05,45.0
192,0.05,49.99999999999818
193,0.05,55.000000000007276
194,0.05,49.99999999999636
195,0.05,49.99999999999818
196,0.05,50.000000000010914
197,0.05,54.999999999992724
198,0.05,45.00000000000182
199,0.05,39.999999999990905
200,0.05,50.000000000010914
201,0.05,54.999999999992724
202,0.05,55.000000000007276
203,0.05,45.00000000000182
204,0.05,49.99999999999818
205,0.05,54.999999999992724
206,0.05,45.0
207,0.05,49.99999999999818
208,0.05,50.000000000010914
209,0.05,59.999999999989086
210,0.05,45.00000000000182
211,0.05,45.0
212,0.05,55.000000000007276
213,0.05,49.99999999999818
214,0.05,45.00000000000182
215,0.05,49.99999999999636
216,0.05,49.99999999999636
217,0.05,55.000000000007276
218,0.05,49.99999999999818
219,0.05,49.99999999999636
220,0.05,49.99999999999818
221,0.05,50.000000000010914
222,0.05,44.99999999998727
223,0.05,45.00000000000182
224,0.05,49.99999999999636
225,0.05,55.000000000007276
226,0.05,49.99999999999636
227,0.05,49.99999999999818
228,0.05,50.000000000010914
229,0.05,54.999999999992724
230,0.05,45.00000000000182
231,0.05,45.00000000000182
232,0.05,49.99999999999636
233,0.05,55.000000000007276
234,0.05,49.99999999999818
235,0.05,49.99999999999636
236,0.05,49.99999999999636
237,0.05,49.99999999999818
238,0.05,50.000000000010914
239,0.05,44.99999999998727
240,0.05,55.000000000007276
241,0.05,55.000000000007276
242,0.05,49.99999999999636
243,0.05,45.00000000000182
244,0.05,54.999999999992724
245,0.05,49.99999999999818
246,0.05,45.0
247,0.05,45.00000000000182
248,0.05,55.000000000007276
249,0.05,54.999999999992724
250,0.05,49.99999999999818
251,0.05,50.000000000010914
252,0.05,49.99999999999636
253,0.05,54.999999999992724
254,0.05,49.99999999999818
255,0.05,45.00000000000182
256,0.05,50.000000000010914
257,0.05,54.999999999992724
258,0.05,49.99999999999636
259,0.05,49.99999999999818
260,0.05,50.000000000010914
261,0.05,49.99999999999636
262,0.05,49.99999999999818
263,0.05,45.00000000000182
264,0.05,49.99999999999636
265,0.05,55.000000000007276
266,0.05,49.99999999999636
267,0.05,49.99999999999818
268,0.05,45.00000000000182
269,0.05,54.999999999992724
270,0.05,45.00000000000182
271,0.05,50.000000000010914
272,0.05,49.99999999999636
273,0.05,54.999999999992724
274,0.05,49.99999999999818
275,0.05,50.000000000010914
276,0.05,49.99999999999636
277,0.05,49.99999999999818
278,0.05,49.99999999999636
279,0.05,40.000000000007276
280,0.05,54.999999999992724
281,0.05,55.00000000000546
282,0.05,49.99999999999818
283,0.05,49.99999999999636
284,0.05,49.99999999999818
285,0.05,50.000000000010914
286,0.05,49.99999999999636
287,0.05,45.00000000000182
288,0.05,49.99999999999818
289,0.05,60.00000000000182
290,0.05,45.00000000000182
291,0.05,49.99999999999636
292,0.05,49.99999999999818
293,0.05,55.00000000000546
294,0.05,44.999999999989086
295,0.05,50.000000000010914
296,0.05,49.99999999999636
297,0.05,54.999999999992724
298,0.05,50.000000000010914
299,0.05,49.99999999999818
300,0.05,49.99999999999636
301,0.05,49.99999999999818
302,0.05,45.00000000000182
303,0.05,49.99999999999636
304,0.05,49.99999999999818
305,0.05,55.00000000000546
306,0.05,49.99999999999818
307,0.05,49.99999999999636
308,0.05,50.000000000010914
309,0.05,49.99999999999818
310,0.05,45.00000000000182
311,0.05,45.00000000000182
312,0.05,49.99999999999636
313,0.05,54.999999999992724
314,0.05,49.99999999999818
315,0.05,50.000000000010914
316,0.05,49.99999999999636
317,0.05,49.99999999999818
318,0.05,49.99999999999636
319,0.05,45.00000000000364
320,0.05,49.99999999999636
321,0.05,60.0
322,0.05,50.0
323,0.05,45.0
324,0.05,49.99999999999636
325,0.05,50.000000000010914
326,0.05,50.0
327,0.05,45.0
328,0.05,54.999999999992724
329,0.05,55.000000000007276
330,0.05,54.999999999992724
331,0.05,45.0
332,0.05,50.0
333,0.05,50.000000000010914
334,0.05,49.99999999999636
335,0.05,45.0
336,0.05,50.0
337,0.05,54.999999999992724
338,0.05,55.00000000000364
339,0.05,45.00000000000364
340,0.05,54.999999999992724
341,0.05,49.99999999999636
342,0.05,40.000000000007276
343,0.05,49.99999999999636
344,0.05,55.000000000007276
345,0.05,54.999999999992724
346,0.05,45.0
347,0.05,50.0
348,0.05,50.000000000010914
349,0.05,49.99999999999636
350,0.05,45.0
351,0.05,39.999999999992724
352,0.05,49.99999999999636
353,0.05,50.00000000001455
354,0.05,54.999999999992724
355,0.05,30.0
356,0.05,55.000000000007276
357,0.05,49.99999999999636
358,0.05,49.99999999999636
359,0.05,40.000000000007276
360,0.05,49.99999999999636
361,0.05,54.999999999992724
362,0.05,49.99999999999636
363,0.05,50.000000000010914
364,0.05,34.99999999999636
365,0.05,50.0
366,0.05,49.99999999999636
367,0.05,49.99999999999636
368,0.05,50.000000000010914
369,0.05,54.999999999992724
370,0.05,55.000000000007276
371,0.05,45.00000000000364
372,0.05,49.99999999999636
373,0.05,49.99999999999636
374,0.05,45.0
375,0.05,45.00000000000364
376,0.05,54.999999999992724
377,0.05,55.000000000007276
378,0.05,49.99999999999636
379,0.05,45.0
380,0.05,50.0
381,0.05,55.000000000007276
382,0.05,44.99999999998545
383,0.05,50.000000000010914
384,0.05,54.999999999992724
385,0.05,55.000000000007276
386,0.05,45.00000000000364
387,0.05,49.99999999999636
388,0.05,49.99999999999636
