,movement,measured
4,72.5,464.9999999999891
5,73.0,495.00000000000455
6,73.5,504.99999999999545
7,74.0,505.0000000000091
8,74.5,515.0000000000018
9,75.0,554.9999999999927
10,75.5,504.99999999999454
11,76.0,500.0
12,76.5,500.0
13,77.0,490.0000000000091
14,77.5,509.9999999999909
15,78.0,505.0000000000109
16,78.5,500.0
17,79.0,504.99999999999454
18,79.5,504.99999999999636
19,80.0,510.00000000000364
20,80.5,485.0
21,81.0,475.0000000000091
22,81.5,504.99999999999636
23,82.0,509.9999999999891
24,82.5,505.0000000000109
25,83.0,500.0
26,83.5,504.99999999999636
27,84.0,504.9999999999927
28,84.5,500.0
29,85.0,495.0000000000073
30,85.5,510.00000000000364
31,86.0,504.99999999999636
32,86.5,500.0
33,87.0,500.0
34,87.5,510.00000000000364
35,88.0,504.99999999999636
36,88.5,504.99999999999636
37,89.0,500.0
38,89.5,505.0000000000073
39,90.0,509.9999999999927
40,90.5,500.0
41,91.0,500.0
42,91.5,505.0000000000073
43,92.0,509.9999999999927
44,92.5,495.00000000000364
45,93.0,500.0
46,93.5,504.99999999999636
47,94.0,510.00000000000364
48,94.5,489.99999999999636
49,95.0,500.0
50,95.5,510.00000000000364
51,96.0,515.0
52,96.5,500.0
53,97.0,495.0000000000073
54,97.5,504.9999999999927
55,98.0,505.0
56,98.5,505.0000000000073
57,99.0,494.9999999999927
58,99.5,515.0
59,100.0,504.9999999999927
60,100.5,505.0000000000073
61,101.0,500.0
62,101.5,500.0
63,102.0,509.9999999999927
64,102.5,495.0000000000073
65,103.0,500.0
66,103.5,504.9999999999927
67,104.0,505.0000000000073
68,104.5,500.0
69,105.0,505.0
70,105.5,500.0
71,106.0,510.0000000000073
72,106.5,504.9999999999927
73,107.0,500.0
74,107.5,504.9999999999927
75,108.0,505.00000000001455
76,108.5,509.99999999998545
77,109.0,495.0000000000073
78,109.5,504.9999999999927
79,110.0,510.0000000000073
80,110.5,500.0
81,111.0,505.0
82,111.5,510.0
83,112.0,510.0
84,112.5,500.0
85,113.0,495.0
86,113.5,505.0
87,114.0,510.0
88,114.5,495.0
89,115.0,500.0
90,115.5,500.0
91,116.0,510.0
92,116.5,505.0
93,117.0,500.0
94,117.5,500.0
95,118.0,515.0
96,118.5,505.0
97,119.0,495.0
98,119.5,490.0
99,120.0,505.0
100,120.5,505.0
101,121.0,495.0
102,121.5,505.0
103,122.0,510.0
104,122.5,500.0
105,123.0,500.0
106,123.5,500.0
107,124.0,505.0
108,124.5,505.0
109,125.0,495.0
110,125.5,495.0
111,126.0,520.0
112,126.5,505.0
113,127.0,500.0
114,127.5,505.0
